Date,head
2001-01-02,241.16
2001-01-09,241.12
2001-01-16,241.08
2001-01-23,241.06
2001-01-30,241.04
2001-02-06,241.02
2001-02-13,240.99
2001-02-20,240.96
2001-02-27,240.93
2001-03-06,240.9
2001-03-13,240.87
2001-03-20,240.84
2001-03-27,240.8
2001-04-03,240.81
2001-04-10,240.83
2001-04-17,240.9
2001-04-24,241.05
2001-05-01,241.23
2001-05-08,241.47
2001-05-15,241.63
2001-05-22,241.56
2001-05-29,241.49
2001-06-05,241.5
2001-06-12,241.52
2001-06-19,241.42
2001-06-26,241.26
2001-07-03,241.14
2001-07-10,241.1
2001-07-17,241.05
2001-07-24,241.08
2001-07-31,241.12
2001-08-07,241.15
2001-08-14,241.18
2001-08-21,241.13
2001-08-28,241.07
2001-09-04,241.09
2001-09-11,241.15
2001-09-18,241.19
2001-09-25,241.21
2001-10-02,241.22
2001-10-09,241.23
2001-10-16,241.24
2001-10-23,241.21
2001-10-30,241.18
2001-11-06,241.13
2001-11-13,241.08
2001-11-20,241.04
2001-11-27,241.02
2001-12-04,241.01
2001-12-11,241.01
2001-12-18,241.0
2001-12-25,240.96
2002-01-01,240.93
2002-01-08,240.87
2002-01-15,240.82
2002-01-22,240.87
2002-01-29,240.91
2002-02-05,240.89
2002-02-12,240.86
2002-02-19,240.84
2002-02-26,240.83
2002-03-05,240.82
2002-03-12,240.8
2002-03-19,240.79
2002-03-26,240.8
2002-04-02,240.83
2002-04-09,240.89
2002-04-16,240.98
2002-04-23,241.28
2002-04-30,241.57
2002-05-07,241.56
2002-05-14,241.55
2002-05-21,241.45
2002-05-28,241.34
2002-06-04,241.37
2002-06-11,241.15
2002-06-18,240.94
2002-06-25,240.92
2002-07-02,240.89
2002-07-09,240.86
2002-07-16,240.84
2002-07-23,240.82
2002-07-30,240.81
2002-08-06,240.7
2002-08-13,240.58
2002-08-20,240.52
2002-08-27,240.48
2002-09-03,240.47
2002-09-10,240.49
2002-09-17,240.51
2002-09-24,240.54
2002-10-01,240.56
2002-10-08,240.56
2002-10-15,240.56
2002-10-22,240.59
2002-10-29,240.62
2002-11-05,240.59
2002-11-12,240.55
2002-11-19,240.52
2002-11-26,240.5
2002-12-03,240.48
2002-12-10,240.44
2002-12-17,240.42
2002-12-24,240.4
2002-12-31,240.39
2003-01-07,240.35
2003-01-14,240.32
2003-01-21,240.28
2003-01-28,240.24
2003-02-04,240.22
2003-02-11,240.19
2003-02-18,240.17
2003-02-25,240.14
2003-03-04,240.14
2003-03-11,240.16
2003-03-18,240.18
2003-03-25,240.21
2003-04-01,240.24
2003-04-08,240.28
2003-04-15,240.31
2003-04-22,240.67
2003-04-29,241.03
2003-05-06,241.13
2003-05-13,241.23
2003-05-20,241.27
2003-05-27,241.29
2003-06-03,241.26
2003-06-10,241.18
2003-06-17,241.09
2003-06-24,240.98
2003-07-01,240.87
2003-07-08,240.83
2003-07-15,240.78
2003-07-22,240.76
2003-07-29,240.74
2003-08-05,240.76
2003-08-12,240.78
2003-08-19,240.74
2003-08-26,240.65
2003-09-02,240.57
2003-09-09,240.48
2003-09-16,240.41
2003-09-23,240.51
2003-09-30,240.61
2003-10-07,240.77
2003-10-14,240.94
2003-10-21,240.93
2003-10-28,240.89
2003-11-04,240.95
2003-11-11,241.04
2003-11-18,241.06
2003-11-25,240.99
2003-12-02,240.94
2003-12-09,240.92
2003-12-16,240.87
2003-12-23,240.81
2003-12-30,240.76
2004-01-06,240.74
2004-01-13,240.71
2004-01-20,240.69
2004-01-27,240.67
2004-02-03,240.65
2004-02-10,240.63
2004-02-17,240.61
2004-02-24,240.61
2004-03-02,240.6
2004-03-09,240.58
2004-03-16,240.56
2004-03-23,240.54
2004-03-30,240.53
2004-04-06,240.54
2004-04-13,240.56
2004-04-20,240.74
2004-04-27,240.95
2004-05-04,241.15
2004-05-11,241.36
2004-05-18,241.44
2004-05-25,241.38
2004-06-01,241.36
2004-06-08,241.48
2004-06-15,241.18
2004-06-22,241.21
2004-06-29,241.25
2004-07-06,241.27
2004-07-13,241.3
2004-07-20,241.29
2004-07-27,241.25
2004-08-03,241.18
2004-08-10,241.08
2004-08-17,241.03
2004-08-24,241.08
2004-08-31,241.13
2004-09-07,241.11
2004-09-14,241.08
2004-09-21,241.2
2004-09-28,241.33
2004-10-05,241.31
2004-10-12,241.25
2004-10-19,241.23
2004-10-26,241.22
2004-11-02,241.22
2004-11-09,241.2
2004-11-16,241.18
2004-11-23,241.13
2004-11-30,241.07
2004-12-07,241.01
2004-12-14,240.94
2004-12-21,240.92
2004-12-28,240.91
2005-01-04,240.89
2005-01-11,240.87
2005-01-18,240.85
2005-01-25,240.84
2005-02-01,240.83
2005-02-08,240.81
2005-02-15,240.8
2005-02-22,240.78
2005-03-01,240.77
2005-03-08,240.74
2005-03-15,240.71
2005-03-22,240.72
2005-03-29,240.72
2005-04-05,240.77
2005-04-12,240.83
2005-04-19,240.92
2005-04-26,241.03
2005-05-03,241.16
2005-05-10,241.3
2005-05-17,241.4
2005-05-24,241.4
2005-05-31,241.42
2005-06-07,241.58
2005-06-14,241.3
2005-06-21,241.23
2005-06-28,241.21
2005-07-05,241.11
2005-07-12,240.98
2005-07-19,240.99
2005-07-26,241.11
2005-08-02,241.19
2005-08-09,241.22
2005-08-16,241.23
2005-08-23,241.19
2005-08-30,241.14
2005-09-06,241.43
2005-09-13,241.3
2005-09-20,241.23
2005-09-27,241.18
2005-10-04,241.16
2005-10-11,241.15
2005-10-18,241.14
2005-10-25,241.1
2005-11-01,241.09
2005-11-08,241.11
2005-11-15,241.14
2005-11-22,241.12
2005-11-29,241.1
2005-12-06,241.06
2005-12-13,241.01
2005-12-20,240.96
2005-12-27,240.9
2006-01-03,240.88
2006-01-10,240.88
2006-01-17,240.87
2006-01-24,240.83
2006-01-31,240.8
2006-02-07,240.77
2006-02-14,240.74
2006-02-21,240.73
2006-02-28,240.72
2006-03-07,240.7
2006-03-14,240.67
2006-03-21,240.66
2006-03-28,240.64
2006-04-04,240.62
2006-04-11,240.58
2006-04-18,240.61
2006-04-25,240.73
2006-05-02,240.95
2006-05-09,241.25
2006-05-16,241.5
2006-05-23,241.39
2006-05-30,241.29
2006-06-06,241.43
2006-06-13,241.24
2006-06-20,241.14
2006-06-27,241.15
2006-07-04,241.09
2006-07-11,241.0
2006-07-18,240.89
2006-07-25,240.76
2006-08-01,240.62
2006-08-08,240.45
2006-08-15,240.28
2006-08-22,240.35
2006-08-29,240.09
2006-09-05,240.04
2006-09-12,240.06
2006-09-19,240.07
2006-09-26,240.08
2006-10-03,240.24
2006-10-10,240.51
2006-10-17,240.7
2006-10-24,240.69
2006-10-31,240.68
2006-11-07,240.67
2006-11-14,240.66
2006-11-21,240.84
2006-11-28,241.04
2006-12-05,241.11
2006-12-12,241.13
2006-12-19,241.13
2006-12-26,241.1
2007-01-02,241.09
2007-01-09,241.09
2007-01-16,241.08
2007-01-23,241.03
2007-01-30,240.98
2007-02-06,240.93
2007-02-13,240.88
2007-02-20,240.86
2007-02-27,240.83
2007-03-06,240.82
2007-03-13,240.8
2007-03-20,240.82
2007-03-27,240.84
2007-04-03,240.87
2007-04-10,240.9
2007-04-17,240.98
2007-04-24,241.21
2007-05-01,241.4
2007-05-08,241.4
2007-05-15,241.39
2007-05-22,241.39
2007-05-29,241.38
2007-06-05,241.29
2007-06-12,241.19
2007-06-19,241.09
2007-06-26,241.01
2007-07-03,240.99
2007-07-10,241.03
2007-07-17,241.03
2007-07-24,240.97
2007-07-31,240.93
2007-08-07,241.07
2007-08-14,241.2
2007-08-21,241.17
2007-08-28,241.12
2007-09-04,241.09
2007-09-11,241.06
2007-09-18,241.09
2007-09-25,241.19
2007-10-02,241.26
2007-10-09,241.25
2007-10-16,241.24
2007-10-23,241.24
2007-10-30,241.24
2007-11-06,241.21
2007-11-13,241.19
2007-11-20,241.17
2007-11-27,241.16
2007-12-04,241.15
2007-12-11,241.16
2007-12-18,241.15
2007-12-25,241.14
2008-01-01,241.13
2008-01-08,241.11
2008-01-15,241.09
2008-01-22,241.06
2008-01-29,241.03
2008-02-05,241.02
2008-02-12,241.0
2008-02-19,240.98
2008-02-26,240.96
2008-03-04,240.94
2008-03-11,240.92
2008-03-18,240.9
2008-03-25,240.88
2008-04-01,240.87
2008-04-08,240.85
2008-04-15,240.83
2008-04-22,240.91
2008-04-29,240.99
2008-05-06,241.16
2008-05-13,241.34
2008-05-20,241.49
2008-05-27,241.63
2008-06-03,241.58
2008-06-10,241.4
2008-06-17,241.27
2008-06-24,241.32
2008-07-01,241.37
2008-07-08,241.3
2008-07-15,241.22
2008-07-22,241.17
2008-07-29,241.12
2008-08-05,241.09
2008-08-12,241.07
2008-08-19,241.35
2008-08-26,241.4
2008-09-02,241.22
2008-09-09,241.18
2008-09-16,241.14
2008-09-23,241.12
2008-09-30,241.11
2008-10-07,241.15
2008-10-14,241.19
2008-10-21,241.21
2008-10-28,241.22
2008-11-04,241.2
2008-11-11,241.16
2008-11-18,241.12
2008-11-25,241.06
2008-12-02,241.0
2008-12-09,240.94
2008-12-16,240.92
2008-12-23,240.93
2008-12-30,240.93
2009-01-06,240.91
2009-01-13,240.89
2009-01-20,240.86
2009-01-27,240.83
2009-02-03,240.81
2009-02-10,240.78
2009-02-17,240.76
2009-02-24,240.74
2009-03-03,240.72
2009-03-10,240.69
2009-03-17,240.67
2009-03-24,240.65
2009-03-31,240.63
2009-04-07,240.63
2009-04-14,240.62
2009-04-21,240.8
2009-04-28,241.01
2009-05-05,241.22
2009-05-12,241.44
2009-05-19,241.51
2009-05-26,241.48
2009-06-02,241.49
2009-06-09,241.38
2009-06-16,241.18
2009-06-23,241.13
2009-06-30,241.07
2009-07-07,240.94
2009-07-14,240.82
2009-07-21,240.68
2009-07-28,240.55
2009-08-04,240.44
2009-08-11,240.34
2009-08-18,240.25
2009-08-25,240.19
2009-09-01,240.23
2009-09-08,240.5
2009-09-15,240.77
2009-09-22,240.75
2009-09-29,240.72
2009-10-06,240.7
2009-10-13,240.67
2009-10-20,240.68
2009-10-27,240.71
2009-11-03,240.74
2009-11-10,240.78
2009-11-17,240.84
2009-11-24,240.93
2009-12-01,241.01
2009-12-08,240.97
2009-12-15,240.94
2009-12-22,240.91
2009-12-29,240.88
2010-01-05,240.84
2010-01-12,240.78
2010-01-19,240.75
2010-01-26,240.74
2010-02-02,240.72
2010-02-09,240.69
2010-02-16,240.67
2010-02-23,240.65
2010-03-02,240.63
2010-03-09,240.6
2010-03-16,240.58
2010-03-23,240.57
2010-03-30,240.56
2010-04-06,240.6
2010-04-13,240.64
2010-04-20,240.74
2010-04-27,240.87
2010-05-04,241.03
2010-05-11,241.21
2010-05-18,241.32
2010-05-25,241.36
2010-06-01,241.41
2010-06-08,241.51
2010-06-15,241.19
2010-06-22,241.23
2010-06-29,241.27
2010-07-06,241.24
2010-07-13,241.2
2010-07-20,241.19
2010-07-27,241.18
2010-08-03,241.18
2010-08-10,241.17
2010-08-17,241.18
2010-08-24,241.24
2010-08-31,240.97
2010-09-07,240.93
2010-09-14,240.89
2010-09-21,240.98
2010-09-28,241.11
2010-10-05,241.12
2010-10-12,241.08
2010-10-19,241.08
2010-10-26,241.1
2010-11-02,241.12
2010-11-09,241.14
2010-11-16,241.15
2010-11-23,241.1
2010-11-30,241.04
2010-12-07,240.98
2010-12-14,240.92
2010-12-21,240.88
2010-12-28,240.84
2011-01-04,240.81
2011-01-11,240.79
2011-01-18,240.77
2011-01-25,240.75
2011-02-01,240.73
2011-02-08,240.69
2011-02-15,240.65
2011-02-22,240.61
2011-03-01,240.58
2011-03-08,240.58
2011-03-15,240.57
2011-03-22,240.59
2011-03-29,240.62
2011-04-05,240.63
2011-04-12,240.65
2011-04-19,240.85
2011-04-26,241.19
2011-05-03,241.39
2011-05-10,241.41
2011-05-17,241.43
2011-05-24,241.42
2011-05-31,241.44
2011-06-07,241.59
2011-06-14,241.31
2011-06-21,241.29
2011-06-28,241.35
2011-07-05,241.3
2011-07-12,241.19
2011-07-19,241.16
2011-07-26,241.17
2011-08-02,241.16
2011-08-09,241.13
2011-08-16,241.1
2011-08-23,241.17
2011-08-30,241.23
2011-09-06,241.3
2011-09-13,241.36
2011-09-20,241.4
2011-09-27,241.42
2011-10-04,241.41
2011-10-11,241.39
2011-10-18,241.36
2011-10-25,241.34
2011-11-01,241.33
2011-11-08,241.32
2011-11-15,241.31
2011-11-22,241.28
2011-11-29,241.25
2011-12-06,241.24
2011-12-13,241.23
2011-12-20,241.22
2011-12-27,241.21
2012-01-03,241.19
2012-01-10,241.17
2012-01-17,241.14
2012-01-24,241.11
2012-01-31,241.08
2012-02-07,241.03
2012-02-14,240.99
2012-02-21,240.96
2012-02-28,240.93
2012-03-06,240.92
2012-03-13,240.91
2012-03-20,240.9
2012-03-27,240.89
2012-04-03,240.91
2012-04-10,240.94
2012-04-17,240.98
2012-04-24,241.06
2012-05-01,241.14
2012-05-08,241.28
2012-05-15,241.41
2012-05-22,241.43
2012-05-29,241.45
2012-06-05,241.39
2012-06-12,241.38
2012-06-19,241.35
2012-06-26,241.3
2012-07-03,241.26
2012-07-10,241.25
2012-07-17,241.22
2012-07-24,241.15
2012-07-31,241.07
2012-08-07,240.94
2012-08-14,240.89
2012-08-21,240.91
2012-08-28,240.94
2012-09-04,241.03
2012-09-11,241.14
2012-09-18,241.22
2012-09-25,241.27
2012-10-02,241.32
2012-10-09,241.35
2012-10-16,241.37
2012-10-23,241.31
2012-10-30,241.25
2012-11-06,241.29
2012-11-13,241.34
2012-11-20,241.33
2012-11-27,241.3
2012-12-04,241.25
2012-12-11,241.19
2012-12-18,241.15
2012-12-25,241.14
2013-01-01,241.13
2013-01-08,241.08
2013-01-15,241.04
2013-01-22,241.03
2013-01-29,241.02
2013-02-05,240.98
2013-02-12,240.94
2013-02-19,240.91
2013-02-26,240.88
2013-03-05,240.85
2013-03-12,240.83
2013-03-19,240.8
2013-03-26,240.78
2013-04-02,240.75
2013-04-09,240.72
2013-04-16,240.73
2013-04-23,240.97
2013-04-30,241.22
2013-05-07,241.4
2013-05-14,241.58
2013-05-21,241.52
2013-05-28,241.42
2013-06-04,241.28
2013-06-11,241.28
2013-06-18,241.26
2013-06-25,241.2
2013-07-02,241.15
2013-07-09,241.11
2013-07-16,241.1
2013-07-23,241.09
2013-07-30,241.08
2013-08-06,241.0
2013-08-13,240.91
2013-08-20,240.93
2013-08-27,240.85
2013-09-03,240.78
2013-09-10,240.72
2013-09-17,240.72
2013-09-24,240.9
2013-10-01,241.07
2013-10-08,241.1
2013-10-15,241.13
2013-10-22,241.13
2013-10-29,241.13
2013-11-05,241.13
2013-11-12,241.13
2013-11-19,241.11
2013-11-26,241.06
2013-12-03,241.03
2013-12-10,241.0
2013-12-17,241.02
2013-12-24,241.06
2013-12-31,241.09
2014-01-07,241.06
2014-01-14,241.03
2014-01-21,241.0
2014-01-28,240.96
2014-02-04,240.93
2014-02-11,240.9
2014-02-18,240.9
2014-02-25,240.91
2014-03-04,240.93
2014-03-11,240.94
2014-03-18,240.95
2014-03-25,240.96
2014-04-01,240.96
2014-04-08,240.96
2014-04-15,240.96
2014-04-22,241.19
2014-04-29,241.43
2014-05-06,241.5
2014-05-13,241.55
2014-05-20,241.53
2014-05-27,241.5
2014-06-03,241.44
2014-06-10,241.37
2014-06-17,241.34
2014-06-24,241.19
2014-07-01,241.06
2014-07-08,241.02
2014-07-15,240.98
2014-07-22,240.91
2014-07-29,240.84
2014-08-05,240.76
2014-08-12,240.72
2014-08-19,240.72
2014-08-26,240.72
2014-09-02,240.67
2014-09-09,240.54
2014-09-16,240.44
2014-09-23,240.51
2014-09-30,240.58
2014-10-07,240.58
2014-10-14,240.57
2014-10-21,240.67
2014-10-28,240.78
2014-11-04,240.83
2014-11-11,240.86
2014-11-18,240.87
2014-11-25,240.85
2014-12-02,240.83
2014-12-09,240.81
2014-12-16,240.8
2014-12-23,240.79
2014-12-30,240.77
2015-01-06,240.77
2015-01-13,240.76
2015-01-20,240.74
2015-01-27,240.72
2015-02-03,240.7
2015-02-10,240.67
2015-02-17,240.65
2015-02-24,240.66
2015-03-03,240.65
2015-03-10,240.63
2015-03-17,240.62
2015-03-24,240.63
2015-03-31,240.66
2015-04-07,240.77
2015-04-14,240.88
2015-04-21,241.05
2015-04-28,241.23
2015-05-05,241.35
2015-05-12,241.44
2015-05-19,241.48
2015-05-26,241.49
2015-06-02,241.43
2015-06-09,241.37
2015-06-16,241.31
2015-06-23,241.33
2015-06-30,241.35
2015-07-07,241.35
2015-07-14,241.35
2015-07-21,241.35
2015-07-28,241.35
2015-08-04,241.33
2015-08-11,241.3
2015-08-18,241.27
2015-08-25,241.25
2015-09-01,241.52
2015-09-08,241.31
2015-09-15,241.09
2015-09-22,241.2
2015-09-29,241.31
2015-10-06,241.29
2015-10-13,241.25
2015-10-20,241.21
2015-10-27,241.18
2015-11-03,241.18
2015-11-10,241.22
2015-11-17,241.24
2015-11-24,241.22
2015-12-01,241.21
2015-12-08,241.17
2015-12-15,241.14
2015-12-22,241.11
2015-12-29,241.08
